"IndivYr","AnimalID","VI95","VI50","MigStatus","Date","AvgDE","DEclass","Age","MAXFAT","RUMP","PSPB","Chest","girth","LactStatus"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-19,2.9699645412306,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-20,2.96601607523882,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-21,2.94753395878071,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-22,3.00253369748986,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-23,2.99946720545254,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-24,3.04709283243112,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-25,2.97255666206376,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-26,3.02464810404318,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-27,2.89859244330505,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-28,2.98937812409338,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-29,2.94772086416075,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-30,2.89818618934326,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-31,3.01394868863296,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-01,2.50350736522147,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-02,2.43341668185651,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-03,2.43387192647045,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-04,2.45480264419443,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-05,2.48711290113986,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-06,2.70596865102245,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-07,2.3974386963506,"Poor",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-08,2.38219345268143,"Poor",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-09,2.70298651890839,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-10,2.81196963595297,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-11,2.52730644600213,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-12,2.430019937047,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-13,2.43446682264228,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-14,2.55508052731676,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-15,2.40925859637818,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-16,2.43935122809547,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-17,2.45079304302692,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-18,2.82574940981152,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-19,2.89203090249914,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-20,2.82821490224645,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-21,2.49670952471244,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-22,2.62804045044961,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-23,2.48785154878964,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-24,2.5205834333794,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-25,2.8300780598169,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-26,2.83503811788304,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-27,2.71182917620919,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-28,2.4975597311832,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-29,2.47507031416367,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-30,2.42824276930677,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-07-31,2.47810449920358,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-01,2.4703015561995,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-02,2.38049259305778,"Poor",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-03,2.56786724167914,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-04,2.87862474078723,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-05,2.86135457271292,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-06,2.7884584733522,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-07,2.85312808651515,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-08,2.80886014775282,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-09,2.84202946469852,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-10,2.81082689467848,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-11,2.67296030881862,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-12,2.77247309946364,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-13,2.8389291556564,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-14,2.85377759539593,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-15,2.76761608296643,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-16,2.73281213154493,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-17,2.79656936254478,"Good",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-18,2.59878931887331,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Resident",2014-08-19,2.66780268759707,"Marginal",9,0.82,3.75,"Pregnant",170,165.105,"No"
