"IndivYr","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","Date","AvgDE","DEclass","AvgGHerb","AvgGShrub","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-24,2.86501552464365,"Good",18.5449315025288,11.4366201618318,29.9815516643606,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-25,2.8905204787449,"Good",21.9506113240603,8.43559196020503,30.3862032842653,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-26,2.99385851579827,"Excellent",17.4683105536766,10.4075103513597,27.8758209050363,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-27,2.8746020673694,"Good",20.8653073384391,3.95825521894256,24.8235625573817,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-28,2.81308878248592,"Good",11.1348975174731,30.8062498537742,41.9411473712473,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-29,2.83013358652812,"Good",23.409915240301,2.00642579462284,25.4163410349238,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-30,2.8767483506121,"Good",19.942758362138,0.0640453426947292,20.0068037048327,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-31,3.04308523930149,"Excellent",30.8802084595394,11.1415049086662,42.0217133682056,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-15,2.76323226886168,"Good",15.2236610134575,13.6287991062632,28.8524601197207,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-16,2.74420372100971,"Marginal",16.9709145379051,16.9624441050604,33.9333586429655,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-07-17,2.58014609209041,"Marginal",10.2417992638162,28.4268723932115,38.6686716570277,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
