"IndivYr","AnimalID","VI95","VI50","MigRank","MigStatus","Date","AvgGHerb","AvgGShrub","AvgDE","DEclass","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-10",8.19516622122972,5.75930118762944,2.58408842741142,"Marginal",13.9544674088592,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-11",6.35330695752156,10.5168193357924,2.59645140412913,"Marginal",16.870126293314,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-12",10.677922939429,4.36463647642087,2.65931679835504,"Marginal",15.0425594158499,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-13",8.28279960312545,4.12420294069813,2.63768858358026,"Marginal",12.4070025438236,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-14",30.640934057729,12.1055132637053,2.92668977164993,"Excellent",42.7464473214343,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-15",39.8078335121038,6.31344439735835,2.87681514940397,"Good",46.1212779094622,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-16",21.0103525914172,0.922960334064732,2.76538441564132,"Good",21.9333129254819,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-17",17.5247523152686,7.24742576055691,2.82802674703441,"Good",24.7721780758255,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-18",14.695602419278,6.4295693432943,2.75866014965574,"Good",21.1251717625723,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-19",13.9329387728013,1.5989969722688,2.6093089928632,"Marginal",15.5319357450701,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-20",13.8291405188568,7.85300559573074,2.73867443371454,"Marginal",21.6821461145875,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-21",12.9947597989102,7.19668256582578,2.79624325160534,"Good",20.191442364736,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-22",13.3649158522839,3.67514283859765,2.74844219873495,"Marginal",17.0400586908816,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-23",19.3396989868521,5.78915435017417,2.81877812205064,"Good",25.1288533370263,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-24",11.9557488789723,5.39890356655922,2.71728060131099,"Marginal",17.3546524455315,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-25",16.7061174138314,17.7325042960107,2.84971590156523,"Good",34.4386217098421,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-26",35.1332434552312,0.262615726985035,2.94625155331157,"Excellent",35.3958591822162,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-27",31.203710640827,2.93721395399486,2.88319239330972,"Good",34.1409245948219,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-28",46.5578232150933,0.475263418756604,3.0364389070471,"Excellent",47.0330866338499,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-29",33.0806805407675,4.31033699801234,3.00415873220469,"Excellent",37.3910175387798,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-30",25.9838381346015,3.14275914175044,2.96496553419983,"Excellent",29.1265972763519,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-31",10.7894288938189,10.1454481902219,2.93557670669012,"Excellent",20.9348770840408,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-01",12.125045370326,5.51350797893527,2.8267089225309,"Good",17.6385533492613,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-02",15.4721923830746,21.1206929013394,2.71724764253428,"Marginal",36.592885284414,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-03",18.4391557472292,9.5507249701831,2.68880356180358,"Marginal",27.9898807174123,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-04",6.48730829572733,6.36557029065878,2.6407243442329,"Marginal",12.8528785863861,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-05",17.9163202637553,1.50969504471563,2.74737804597608,"Marginal",19.4260153084709,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-06",23.9453990614833,19.5200995201816,2.92156335228757,"Excellent",43.4654985816649,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-07",31.4843419169768,11.6275639595176,2.81882496255438,"Good",43.1119058764944,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-08-08",28.4771841294811,5.6226204690009,2.99524564120689,"Excellent",34.099804598482,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
